
315964.94414, 3,  -0.205,  9.286,  2.704, 4,  -0.066, -0.037,  0.014, 5,  -9.260,  7.030, 16.750 ,  0.0
315965.27412, 3,  -0.254,  9.340,  2.752, 4,  -0.016, -0.073, -0.005, 5,  -7.900,  7.300, 17.300 ,  0.010040000022854656
  
315965.28412, 3,  -0.299,  9.335,  2.759, 4,  -0.030, -0.088, -0.021, 5,  -7.900,  7.300, 17.300 ,  0.010000000009313226
  
315965.29413, 3,  -0.363,  9.323,  2.751, 4,  -0.056, -0.117, -0.024, 5,  -7.900,  7.300, 17.300 ,  0.010009999969042838
  
315965.30412, 3,  -0.382,  9.336,  2.747, 4,  -0.083, -0.164, -0.017, 5,  -7.900,  7.300, 17.300 ,  0.009989999991375953
  
315965.31412, 3,  -0.385,  9.288,  2.776, 4,  -0.114, -0.227, -0.011, 5,  -7.900,  7.300, 17.300 ,  0.010000000009313226
  
315965.32413, 3,  -0.317,  9.300,  2.771, 4,  -0.149, -0.297, -0.005, 5,  -7.900,  7.300, 17.300 ,  0.010010000027250499
  
315965.33413, 3,  -0.262,  9.385,  2.806, 4,  -0.174, -0.377, -0.004, 5,  -7.900,  7.300, 17.300 ,  0.009999999951105565
  
315965.34408, 3,  -0.184,  9.319,  2.673, 4,  -0.196, -0.482, -0.000, 5,  -7.900,  7.300, 17.200 ,  0.009950000036042184
  
315965.35408, 3,  -0.187,  9.353,  2.682, 4,  -0.207, -0.567, -0.012, 5,  -7.900,  7.300, 17.200 ,  0.010000000009313226
  
315965.36414, 3,  -0.204,  9.290,  2.626, 4,  -0.227, -0.636, -0.015, 5,  -7.800,  7.300, 17.200 ,  0.01006000000052154
  
315965.37415, 3,  -0.036,  9.364,  2.534, 4,  -0.248, -0.748, -0.024, 5,  -7.800,  7.300, 17.200 ,  0.010009999969042838
  
315965.38415, 3,   0.062,  9.340,  2.652, 4,  -0.249, -0.893, -0.048, 5,  -7.800,  7.300, 17.200 ,  0.010000000009313226
  
315965.39414, 3,   0.127,  9.358,  2.501, 4,  -0.271, -1.093, -0.066, 5,  -7.800,  7.300, 17.200 ,  0.009989999991375953
  
315965.40415, 3,   0.180,  9.146,  2.455, 4,  -0.328, -1.369, -0.080, 5,  -7.800,  7.400, 17.300 ,  0.010010000027250499
  
315965.41409, 3,   0.109,  9.118,  2.764, 4,  -0.445, -1.596, -0.090, 5,  -7.800,  7.400, 17.300 ,  0.00993999995989725
  
315965.42416, 3,  -0.133,  9.240,  2.923, 4,  -0.594, -1.701, -0.079, 5,  -7.700,  7.400, 17.300 ,  0.010070000018458813
  
315965.43416, 3,  -0.249,  9.197,  3.004, 4,  -0.703, -1.795, -0.044, 5,  -7.700,  7.400, 17.300 ,  0.010000000009313226
  
315965.44415, 3,  -0.271,  9.169,  3.389, 4,  -0.763, -1.854,  0.004, 5,  -7.600,  7.300, 17.300 ,  0.009989999991375953
  
315965.45414, 3,  -0.202,  9.106,  3.882, 4,  -0.771, -1.801,  0.031, 5,  -7.600,  7.300, 17.300 ,  0.009989999991375953
  
315965.46414, 3,  -0.031,  9.055,  4.360, 4,  -0.716, -1.581,  0.048, 5,  -7.500,  7.300, 17.400 ,  0.010000000009313226
  
315965.47415, 3,   0.231,  8.993,  4.420, 4,  -0.604, -1.256,  0.043, 5,  -7.500,  7.300, 17.400 ,  0.010010000027250499
  
315965.48415, 3,   0.449,  8.845,  4.251, 4,  -0.458, -0.972,  0.014, 5,  -7.400,  7.300, 17.400 ,  0.009999999951105565
  
315965.49415, 3,   0.581,  8.768,  4.131, 4,  -0.323, -0.796, -0.014, 5,  -7.400,  7.300, 17.400 ,  0.010000000009313226
  
315965.50415, 3,   0.684,  8.781,  3.968, 4,  -0.242, -0.687, -0.041, 5,  -7.300,  7.200, 17.500 ,  0.010000000009313226
  
315965.51414, 3,   0.646,  8.855,  3.691, 4,  -0.185, -0.666, -0.070, 5,  -7.300,  7.200, 17.500 ,  0.009989999991375953
  
315965.52409, 3,   0.492,  8.878,  3.604, 4,  -0.170, -0.705, -0.081, 5,  -7.200,  7.200, 17.500 ,  0.009950000036042184
  
315965.53415, 3,   0.332,  8.942,  3.528, 4,  -0.180, -0.759, -0.068, 5,  -7.200,  7.200, 17.500 ,  0.01006000000052154
  
315965.54410, 3,   0.257,  8.984,  3.421, 4,  -0.217, -0.836, -0.039, 5,  -7.200,  7.100, 17.500 ,  0.009949999977834523
  
315965.55409, 3,   0.280,  9.018,  3.448, 4,  -0.278, -0.974,  0.014, 5,  -7.200,  7.100, 17.500 ,  0.009989999991375953
  
315965.56410, 3,   0.318,  9.041,  3.554, 4,  -0.297, -1.008,  0.040, 5,  -7.000,  7.100, 17.600 ,  0.010010000027250499
  
315965.57409, 3,   0.327,  9.038,  3.582, 4,  -0.293, -1.010,  0.051, 5,  -7.000,  7.100, 17.600 ,  0.009989999991375953
  
315965.58415, 3,   0.327,  9.045,  3.616, 4,  -0.265, -1.005,  0.061, 5,  -6.900,  7.000, 17.700 ,  0.01006000000052154
  
315965.59409, 3,   0.449,  9.185,  3.674, 4,  -0.246, -1.055,  0.070, 5,  -6.900,  7.000, 17.700 ,  0.00994000001810491
  
315965.60415, 3,   0.600,  9.205,  3.760, 4,  -0.247, -1.116,  0.080, 5,  -6.700,  6.900, 17.800 ,  0.01006000000052154
  
315965.61409, 3,   0.563,  9.036,  3.882, 4,  -0.256, -1.166,  0.096, 5,  -6.700,  6.900, 17.800 ,  0.00993999995989725
  
