
327803.35500, 3,  -1.032,  8.267,  3.935, 4,   0.188, -0.176, -0.007, 5,  -5.500,  2.400, 19.200 ,  0.010000000009313226
  
327803.36505, 3,  -0.862,  8.362,  3.883, 4,   0.221, -0.169,  0.049, 5,  -5.500,  2.400, 19.200 ,  0.010050000040791929
  
327803.37505, 3,  -0.662,  8.625,  3.849, 4,   0.227, -0.178,  0.108, 5,  -5.500,  2.400, 19.200 ,  0.009999999951105565
  
327803.38504, 3,  -0.516,  8.930,  3.851, 4,   0.211, -0.203,  0.141, 5,  -5.500,  2.400, 19.200 ,  0.009990000049583614
  
327803.39501, 3,  -0.390,  9.183,  3.859, 4,   0.180, -0.227,  0.147, 5,  -5.400,  2.500, 19.200 ,  0.009969999955501407
  
327803.40502, 3,  -0.259,  9.334,  3.873, 4,   0.150, -0.241,  0.131, 5,  -5.400,  2.500, 19.200 ,  0.010010000027250499
  
327803.41499, 3,  -0.113,  9.378,  3.915, 4,   0.130, -0.253,  0.099, 5,  -5.400,  2.600, 19.200 ,  0.009970000013709068
  
327803.42503, 3,   0.028,  9.319,  3.913, 4,   0.121, -0.263,  0.060, 5,  -5.400,  2.600, 19.200 ,  0.010039999964646995
  
327803.43504, 3,   0.150,  9.301,  4.019, 4,   0.132, -0.282,  0.028, 5,  -5.400,  2.700, 19.100 ,  0.010010000027250499
  
327803.44502, 3,   0.238,  9.394,  4.203, 4,   0.150, -0.300,  0.011, 5,  -5.400,  2.700, 19.100 ,  0.00997999997343868
  
327803.45505, 3,   0.378,  9.461,  4.257, 4,   0.154, -0.276, -0.016, 5,  -5.300,  2.800, 19.100 ,  0.010030000004917383
  
327803.46503, 3,   0.529,  9.494,  4.237, 4,   0.130, -0.232, -0.051, 5,  -5.300,  2.800, 19.100 ,  0.009980000031646341
  
327803.47506, 3,   0.691,  9.525,  4.126, 4,   0.102, -0.179, -0.084, 5,  -5.300,  2.800, 19.100 ,  0.010030000004917383
  
327803.48504, 3,   0.826,  9.579,  4.029, 4,   0.086, -0.143, -0.124, 5,  -5.300,  2.800, 19.100 ,  0.00997999997343868
  
327803.49506, 3,   0.931,  9.613,  3.994, 4,   0.085, -0.126, -0.168, 5,  -5.300,  2.900, 19.100 ,  0.01001999998698011
  
327803.50504, 3,   1.010,  9.584,  4.025, 4,   0.103, -0.131, -0.214, 5,  -5.300,  2.900, 19.100 ,  0.009980000031646341
  
327803.51506, 3,   1.075,  9.494,  4.064, 4,   0.133, -0.117, -0.258, 5,  -5.300,  2.900, 19.200 ,  0.01001999998698011
  
327803.52500, 3,   1.113,  9.463,  4.020, 4,   0.156, -0.071, -0.292, 5,  -5.300,  2.900, 19.200 ,  0.00994000001810491
  
327803.53503, 3,   1.189,  9.474,  3.865, 4,   0.147, -0.024, -0.322, 5,  -5.300,  3.000, 19.200 ,  0.010030000004917383
  
